Name, Skill CD (Max), # of Skillups, In-Game Description, Parsed Description
"Heat Breath","3","6","Inflicts 10x ATK Fire Mass Attack","Inflict Fire damage equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Heat Breath","3","6","Inflicts 10x ATK Fire Mass Attack","Inflict Fire damage equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Magma Breath","4","23","1.5x ATK for Fire Att. for 2 turns; inflicts 20x ATK Fire Att. Mass Attack","Fire Attribute ATK x1.5 for 2 turns.
Inflict Fire damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Magma Breath","4","23","1.5x ATK for Fire Att. for 2 turns; inflicts 20x ATK Fire Att. Mass Attack","Fire Attribute ATK x1.5 for 2 turns.
Inflict Fire damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Cold Breath","3","6","Inflicts 10x ATK Water Mass Attack","Inflict Water damage equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Cold Breath","3","6","Inflicts 10x ATK Water Mass Attack","Inflict Water damage equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Blizzard Breath","4","23","1.5x ATK for Water Att. for 2 turns; inflicts 20x ATK Water Att. Mass Attack","Water Attribute ATK x1.5 for 2 turns.
Inflict Water damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Blizzard Breath","4","23","1.5x ATK for Water Att. for 2 turns; inflicts 20x ATK Water Att. Mass Attack","Water Attribute ATK x1.5 for 2 turns.
Inflict Water damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Wind Breath","3","6","Inflicts 10x ATK Wood Mass Attack","Inflict Wood damage equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Wind Breath","3","6","Inflicts 10x ATK Wood Mass Attack","Inflict Wood damage equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Gaia Breath","4","23","1.5x ATK for Wood Att. for 2 turns; inflicts 20x ATK Wood Att. Mass Attack","Wood Attribute ATK x1.5 for 2 turns.
Inflict Wood damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Gaia Breath","4","23","1.5x ATK for Wood Att. for 2 turns; inflicts 20x ATK Wood Att. Mass Attack","Wood Attribute ATK x1.5 for 2 turns.
Inflict Wood damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Flash Breath","3","6","Inflicts 10x ATK Light Mass Attack","Inflict Light damage equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Flash Breath","3","6","Inflicts 10x ATK Light Mass Attack","Inflict Light damage equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Holy Breath","4","23","1.5x ATK for Light Att. for 2 turns; inflicts 20x ATK Light Att. Mass Attack","Light Attribute ATK x1.5 for 2 turns.
Inflict Light damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Holy Breath","4","23","1.5x ATK for Light Att. for 2 turns; inflicts 20x ATK Light Att. Mass Attack","Light Attribute ATK x1.5 for 2 turns.
Inflict Light damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Dark Breath","3","6","Inflicts 10x ATK Dark Mass Attack","Inflict Dark damage equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Dark Breath","3","6","Inflicts 10x ATK Dark Mass Attack","Inflict Dark damage equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Inferno Breath","4","23","1.5x ATK for Dark Att. for 2 turns; inflicts 20x ATK Dark Att. Mass Attack","Dark Attribute ATK x1.5 for 2 turns.
Inflict Dark damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Inferno Breath","4","23","1.5x ATK for Dark Att. for 2 turns; inflicts 20x ATK Dark Att. Mass Attack","Dark Attribute ATK x1.5 for 2 turns.
Inflict Dark damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Heat Ball","5","6","Inflicts 1,000 Fire Att. damage on all enemies","Inflict 10 Fire damage on all enemies."
"Heat Ball","5","6","Inflicts 1,000 Fire Att. damage on all enemies","Inflict 10 Fire damage on all enemies."
"Fire Ball","10","16","Inflicts 3,000 Fire Att. damage on all enemies","Inflict 30 Fire damage on all enemies."
"Cold Ball","5","6","Inflicts 1,000 Water Att. damage on all enemies","Inflict 10 Water damage on all enemies."
"Cold Ball","5","6","Inflicts 1,000 Water Att. damage on all enemies","Inflict 10 Water damage on all enemies."
"Ice Ball","10","16","Inflicts 3,000 Water Att. damage on all enemies","Inflict 30 Water damage on all enemies."
"Wind Ball","5","6","Inflicts 1,000 Wood Att. damage on all enemies","Inflict 10 Wood damage on all enemies."
"Wind Ball","5","6","Inflicts 1,000 Wood Att. damage on all enemies","Inflict 10 Wood damage on all enemies."
"Earth Ball","10","16","Inflicts 3,000 Wood Att. damage on all enemies","Inflict 30 Wood damage on all enemies."
"Flash Ball","5","6","Inflicts 1,000 Light Att. damage on all enemies","Inflict 10 Light damage on all enemies."
"Flash Ball","5","6","Inflicts 1,000 Light Att. damage on all enemies","Inflict 10 Light damage on all enemies."
"Thunder Ball","10","16","Inflicts 3,000 Light Att. damage on all enemies","Inflict 30 Light damage on all enemies."
"Dark Ball","5","6","Inflicts 1,000 Dark Att. damage on all enemies","Inflict 10 Dark damage on all enemies."
"Dark Ball","5","6","Inflicts 1,000 Dark Att. damage on all enemies","Inflict 10 Dark damage on all enemies."
"Chaos Ball","10","16","Inflicts 3,000 Dark Att. damage on all enemies","Inflict 30 Dark damage on all enemies."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Attack Stance - Fire","5","7","Changes Heal Orbs to Fire Orbs","Change Heart orbs to Fire orbs."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Guard Stance - Water","5","7","Changes Fire Orbs to Heal Orbs","Change Fire orbs to Heart orbs."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Orb Refresh","6","7","Replaces all Orbs","Replace all orbs"
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Guard Stance - Light","5","7","Changes Dark Orbs to Heal Orbs","Change Dark orbs to Heart orbs."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Attack Stance - Dark","5","7","Changes Heal Orbs to Dark Orbs","Change Heart orbs to Dark orbs."
"Ray of Healing","5","6","Recovers 300 HP","Heal 300 HP"
"Light of Healing","5","6","Recovers 500 HP","Heal 500 HP"
"Ray of Healing","5","6","Recovers 300 HP","Heal 300 HP"
"Light of Healing","5","6","Recovers 500 HP","Heal 500 HP"
"Ray of Healing","5","6","Recovers 300 HP","Heal 300 HP"
"Light of Healing","5","6","Recovers 500 HP","Heal 500 HP"
"Ray of Healing","5","6","Recovers 300 HP","Heal 300 HP"
"Light of Healing","5","6","Recovers 500 HP","Heal 500 HP"
"Ray of Healing","5","6","Recovers 300 HP","Heal 300 HP"
"Light of Healing","5","6","Recovers 500 HP","Heal 500 HP"
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Attack Stance - Fire","5","7","Changes Heal Orbs to Fire Orbs","Change Heart orbs to Fire orbs."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Guard Stance - Water","5","7","Changes Fire Orbs to Heal Orbs","Change Fire orbs to Heart orbs."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Orb Refresh","6","7","Replaces all Orbs","Replace all orbs"
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
