Name,In-game Description,Parsed Description
"Fire Power","1.5x ATK for Fire Att.;
Orb move time +2 seconds","Fire Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Fire Power","1.5x ATK for Fire Att.;
Orb move time +2 seconds","Fire Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Fire Power","1.5x ATK for Fire Att.;
Orb move time +2 seconds","Fire Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Power of Explosion","2x ATK for Fire Att.;
Orb move time +2 seconds","Fire Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Water Power","1.5x ATK for Water Att.;
Orb move time +2 seconds","Water Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Water Power","1.5x ATK for Water Att.;
Orb move time +2 seconds","Water Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Water Power","1.5x ATK for Water Att.;
Orb move time +2 seconds","Water Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Power of Water Rapids","2x ATK for Water Att.;
Orb move time +2 seconds","Water Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Wood Power","1.5x ATK for Wood Att.;
Orb move time +2 seconds","Wood Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Wood Power","1.5x ATK for Wood Att.;
Orb move time +2 seconds","Wood Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Wood Power","1.5x ATK for Wood Att.;
Orb move time +2 seconds","Wood Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Power of Gaia","2x ATK for Wood Att.;
Orb move time +2 seconds","Wood Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Light Power","1.5x ATK for Light Att.;
Orb move time +2 seconds","Light Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Light Power","1.5x ATK for Light Att.;
Orb move time +2 seconds","Light Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Light Power","1.5x ATK for Light Att.;
Orb move time +2 seconds","Light Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Power of Flash","2x ATK for Light Att.;
Orb move time +2 seconds","Light Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Dark Power","1.5x ATK for Dark Att.;
Orb move time +2 seconds","Dark Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Dark Power","1.5x ATK for Dark Att.;
Orb move time +2 seconds","Dark Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Dark Power","1.5x ATK for Dark Att.;
Orb move time +2 seconds","Dark Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Power of Darkness","2x ATK for Dark Att.;
Orb move time +2 seconds","Dark Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"None","","No Leader Skill"
"Fire Guard","Reduces Fire Att. damage","30% Fire damage reduction."
"Fire Guard","Reduces Fire Att. damage","30% Fire damage reduction."
"None","","No Leader Skill"
"Water Guard","Reduces Water Att. damage","30% Water damage reduction."
"Water Guard","Reduces Water Att. damage","30% Water damage reduction."
"None","","No Leader Skill"
"Wood Guard","Reduces Wood Att. damage","30% Wood damage reduction."
"Wood Guard","Reduces Wood Att. damage","30% Wood damage reduction."
"None","","No Leader Skill"
"Light Guard","Reduces Light Att. damage","30% Light damage reduction."
"Light Guard","Reduces Light Att. damage","30% Light damage reduction."
"None","","No Leader Skill"
"Dark Guard","Reduces Dark Att. damage","30% Dark damage reduction."
"Dark Guard","Reduces Dark Att. damage","30% Dark damage reduction."
"無し","","No Leader Skill"
"None","","No Leader Skill"
"無し","","No Leader Skill"
"None","","No Leader Skill"
"無し","","No Leader Skill"
"None","","No Leader Skill"
"無し","","No Leader Skill"
"None","","No Leader Skill"
"無し","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"無し","","No Leader Skill"
"None","","No Leader Skill"
"無し","","No Leader Skill"
"None","","No Leader Skill"
"無し","","No Leader Skill"
"None","","No Leader Skill"
"根性","HPが0になる攻撃を受けてもふんばることがある。","While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"Resolve","May survive when HP is reduced to 0","While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"根性","HPが0になる攻撃を受けてもふんばることがある。","While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"Resolve","May survive when HP is reduced to 0","While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"根性","HPが0になる攻撃を受けてもふんばることがある。","While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"Resolve","May survive when HP is reduced to 0","While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"Protector's Lore","Slightly reduces damage","Reduce damage taken by 10%."
"Protector's Lore","Slightly reduces damage","Reduce damage taken by 10%."
"Protector's Lore","Slightly reduces damage","Reduce damage taken by 10%."
"Protector's Lore","Slightly reduces damage","Reduce damage taken by 10%."
"Protector's Lore","Slightly reduces damage","Reduce damage taken by 10%."
"Protector's Lore","Slightly reduces damage","Reduce damage taken by 10%."
"Protector's Lore","Slightly reduces damage","Reduce damage taken by 10%."
"Protector's Lore","Slightly reduces damage","Reduce damage taken by 10%."
"Protector's Lore","Slightly reduces damage","Reduce damage taken by 10%."
"Protector's Lore","Slightly reduces damage","Reduce damage taken by 10%."
"Inferno","Inflicts a bonus attack equal to 0.5x ATK when matching Orbs","Deal ATK x0.5 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage."
"Inferno","Inflicts a bonus attack equal to 0.5x ATK when matching Orbs","Deal ATK x0.5 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage."
"Healing Song","Heals HP equal to RCV when matching Orbs","Heal RCV x1 as HP after every orbs elimination."
"Healing Song","Heals HP equal to RCV when matching Orbs","Heal RCV x1 as HP after every orbs elimination."
"Healing Prayer","Heals HP equal to half RCV when matching Orbs","Heal RCV x0.5 as HP after every orbs elimination."
"Healing Prayer","Heals HP equal to half RCV when matching Orbs","Heal RCV x0.5 as HP after every orbs elimination."
"Healing Song","Heals HP equal to RCV when matching Orbs","Heal RCV x1 as HP after every orbs elimination."
"Healing Song","Heals HP equal to RCV when matching Orbs","Heal RCV x1 as HP after every orbs elimination."
"Quickness","Orb move time +1.5 seconds","Increases time limit of orb movement by 1.5 seconds."
"Quickness","Orb move time +1.5 seconds","Increases time limit of orb movement by 1.5 seconds."
"Fire Guard","Reduces Fire Att. damage","30% Fire damage reduction."
"Fire Guard","Reduces Fire Att. damage","30% Fire damage reduction."
"Water Guard","Reduces Water Att. damage","30% Water damage reduction."
"Water Guard","Reduces Water Att. damage","30% Water damage reduction."
"Wood Guard","Reduces Wood Att. damage","30% Wood damage reduction."
"Wood Guard","Reduces Wood Att. damage","30% Wood damage reduction."
"Light Guard","Reduces Light Att. damage","30% Light damage reduction."
"Light Guard","Reduces Light Att. damage","30% Light damage reduction."
"Resolve","May survive when HP is reduced to 0","While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"Resolve","May survive when HP is reduced to 0","While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"Dark Guard","Reduces Dark Att. damage","30% Dark damage reduction."
"Dark Guard","Reduces Dark Att. damage","30% Dark damage reduction."
"None","","No Leader Skill"
"Power of Darkness","2x ATK for Dark Att.;
Orb move time +2 seconds","Dark Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Fire Power","1.5x ATK for Fire Att.;
Orb move time +2 seconds","Fire Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Power of Explosion","2x ATK for Fire Att.;
Orb move time +2 seconds","Fire Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
